Epoch,Training Loss,Validation Average Precision,Validation ROC AUC
1,0.6925454139709473,0.8436292856624847,0.9068109670138887
2,0.6857889294624329,0.8436280073497402,0.9068109539930556
3,0.6753386855125427,0.843624474231598,0.9068109696180555
4,0.6567257642745972,0.8436244642677229,0.9068110416666667
5,0.6246358752250671,0.8433936423713512,0.9068337239583333
6,0.5906201004981995,0.8437088658989431,0.9075813307291667
7,0.5577988028526306,0.8412289819398284,0.9006745538194444
8,0.5435000658035278,0.8412278615098534,0.9006701258680555
9,0.559934139251709,0.8412637114646537,0.9006942309027778
10,0.5490535497665405,0.841260887588749,0.9006834487847223
11,0.5632547736167908,0.844457977941239,0.9067019184027778
12,0.5415919423103333,0.8444580022969839,0.9067019826388889
13,0.5416533350944519,0.8444579450723692,0.9067019418402777
14,0.5616555213928223,0.844457964545046,0.9067019574652777
15,0.5462225079536438,0.8444579934599055,0.9067018767361112
16,0.5322090983390808,0.8444632267120595,0.9067055243055554
17,0.5441352128982544,0.8455895875928955,0.9074215190972222
18,0.539749026298523,0.8455897858651854,0.9074218394097221
19,0.53929203748703,0.8444580134677634,0.9067014835069445
20,0.5355393290519714,0.8428573020714046,0.9052521961805555
21,0.5345357060432434,0.8427871506656704,0.9052563619791667
22,0.5343347191810608,0.8428751980133458,0.9052888116319445
23,0.5421017408370972,0.8428578249654973,0.9052530989583334
24,0.534886360168457,0.8451896087812498,0.9080144296875
25,0.537592351436615,0.8451981658466811,0.9080297803819446
26,0.541233241558075,0.8451979845478573,0.9080294574652777
27,0.5334924459457397,0.8443896694323137,0.9066545763888889
28,0.5333313345909119,0.8444579475839123,0.9067019418402779
29,0.5443068146705627,0.8444577040530066,0.9067016189236111
30,0.5347623825073242,0.8444198942855681,0.9066755789930555
31,0.5368276238441467,0.8444579494133051,0.9067019453125
32,0.533781886100769,0.8444580196773456,0.9067020060763888
33,0.5375062823295593,0.8444580009289118,0.9067019722222222
34,0.5378939509391785,0.8456421776539153,0.9074517977430555
35,0.5301783084869385,0.8445405400985183,0.9067528680555557
36,0.5298135876655579,0.8451896069519871,0.908014427951389
37,0.5313687920570374,0.8451981901635249,0.9080297378472224
38,0.533216118812561,0.8452835991223139,0.9081832855902778
39,0.5358039736747742,0.8463736498476819,0.9087639548611112
40,0.5330953001976013,0.8451896080471882,0.9080144279513889
41,0.536470890045166,0.844457703318945,0.9067016171875
42,0.5333859920501709,0.8451896087812498,0.9080144296875
43,0.544297456741333,0.8451979796227405,0.9080294539930557
44,0.5378347039222717,0.8452964120094997,0.9082063116319445
45,0.5380632281303406,0.8452962263432932,0.9082059869791667
46,0.5398221015930176,0.8452962894356614,0.9082059817708333
47,0.5350270867347717,0.8452964120094997,0.9082063116319445
48,0.5351633429527283,0.8452964216409392,0.9082063185763889
49,0.5401811003684998,0.8452964120094997,0.9082063116319444
50,0.5393728613853455,0.8452964125672339,0.9082063133680556
51,0.5327417254447937,0.8452964125672339,0.9082063133680556
52,0.5414295196533203,0.8452964120094997,0.9082058663194444
53,0.5321614146232605,0.8452964125672339,0.9082058680555556
54,0.5378408432006836,0.8453027834871994,0.9082117282986111
55,0.5401949286460876,0.8453029668148456,0.9082119817708334
56,0.5334317088127136,0.8453051284039995,0.9082199244791667
57,0.5262816548347473,0.8453051284039995,0.9082199244791667
58,0.535602867603302,0.8453049429234051,0.9082195980902777
59,0.5358066558837891,0.8453438287797876,0.9082444809027779
